day,ticker,dir,instrument,entry_time,entry,alpha_z,breadth,target_pct,stop_pct,outcome,exit,pnl_pct
2025-12-29,TATACONSUM,LONG,CALL,12:15,1196.3,1.24,2,1,0.5,LOSS,1190.32,-0.5
2025-12-31,BPCL,LONG,CALL,12:20,382.85,0.98,2,1,0.5,FORCED,383.45,0.16
2026-01-02,COALINDIA,LONG,CALL,12:20,419.3,0.89,2,1,0.5,WIN,423.49,1
2026-01-12,INDUSINDBK,LONG,CALL,12:30,903.2,1.42,2,1,0.5,LOSS,898.68,-0.5
2026-01-12,ASIANPAINT,LONG,CALL,12:30,2886.1,1.18,2,1,0.5,LOSS,2871.67,-0.5
2026-01-12,SAIL,LONG,CALL,12:40,148.17,1.28,2,1,0.5,LOSS,147.43,-0.5
2026-01-14,UNIONBANK,LONG,CALL,12:45,169.25,1.5,2,1,0.5,WIN,170.94,1
2026-01-16,FEDERALBNK,LONG,CALL,12:25,264.35,1.03,2,1,0.5,LOSS,263.03,-0.5
2026-01-20,TATACONSUM,LONG,CALL,12:55,1201.4,1.19,2,1,0.5,LOSS,1195.39,-0.5
2026-01-28,ABB,LONG,CALL,12:35,5022.0,0.77,2,1,0.5,WIN,5072.22,1
2026-02-02,POWERGRID,LONG,CALL,12:25,258.45,0.99,2,1,0.5,WIN,261.03,1
2026-02-04,BALKRISIND,LONG,CALL,12:05,2625.0,1.22,2,1,0.5,LOSS,2611.88,-0.5
2026-02-04,ADANIGREEN,LONG,CALL,12:10,966.6,0.89,2,1,0.5,LOSS,961.77,-0.5
2026-02-09,SHRIRAMFIN,LONG,CALL,12:25,1045.1,0.82,2,1,0.5,LOSS,1039.87,-0.5
2026-02-12,HAVELLS,LONG,CALL,13:00,1397.8,1.18,2,1,0.5,FORCED,1397.0,-0.06
2026-02-12,VOLTAS,LONG,CALL,13:00,1540.0,1.08,2,1,0.5,LOSS,1532.3,-0.5
2026-02-13,SIEMENS,LONG,CALL,12:10,3175.8,0.93,2,1,0.5,LOSS,3159.92,-0.5
2026-02-13,HAVELLS,LONG,CALL,12:35,1416.5,0.94,2,1,0.5,LOSS,1409.42,-0.5
2026-02-16,ADANIGREEN,LONG,CALL,12:10,983.6,1.15,2,1,0.5,WIN,993.44,1
2026-02-16,ADANIENT,LONG,CALL,12:10,2171.7,1.21,2,1,0.5,FORCED,2181.3,0.44
2026-02-16,ADANIPORTS,LONG,CALL,12:10,1539.6,1.47,2,1,0.5,FORCED,1538.0,-0.1
2026-02-17,ADANIENT,LONG,CALL,12:35,2239.5,1.28,2,1,0.5,FORCED,2244.4,0.22
2026-02-17,ADANIGREEN,LONG,CALL,12:40,1011.3,1.39,2,1,0.5,FORCED,1014.25,0.29
2026-02-20,JUBLFOOD,LONG,CALL,12:55,534.55,0.89,2,1,0.5,WIN,539.9,1
2026-02-27,SIEMENS,LONG,CALL,13:00,3370.8,1.03,2,1,0.5,WIN,3404.51,1
2026-03-06,NAUKRI,SHORT,PUT,12:55,990.3,-1.37,2,1,0.5,WIN,980.4,1
2026-03-11,BAJFINANCE,SHORT,PUT,11:55,903.65,-1.38,2,1,0.5,WIN,894.61,1
2026-03-11,CHOLAFIN,SHORT,PUT,12:35,1571.0,-1.7,2,1,0.5,WIN,1555.29,1
2026-03-13,LT,SHORT,PUT,12:30,3515.0,-1.17,2,1,0.5,WIN,3479.85,1
2026-03-13,PIDILITIND,SHORT,PUT,12:35,1343.0,-1.17,2,1,0.5,FORCED,1342.0,0.07
2026-04-09,BRITANNIA,SHORT,PUT,12:30,5490.0,-1.51,2,1,0.5,WIN,5435.1,1
2026-04-10,SIEMENS,LONG,CALL,11:50,3330.4,1.28,2,1,0.5,WIN,3363.7,1
2026-04-10,ABB,LONG,CALL,11:55,6875.5,1.28,2,1,0.5,LOSS,6841.12,-0.5
2026-04-10,BAJAJ-AUTO,LONG,CALL,12:25,9805.5,1.06,2,1,0.5,LOSS,9756.47,-0.5
2026-04-13,DMART,LONG,CALL,12:40,4461.0,1.06,2,1,0.5,LOSS,4438.69,-0.5
2026-04-21,TRENT,LONG,CALL,12:00,2950.1,1.28,2,1,0.5,LOSS,2935.35,-0.5
2026-04-21,AUROPHARMA,LONG,CALL,12:50,1397.5,1.36,2,1,0.5,LOSS,1390.51,-0.5
2026-04-27,AMBUJACEM,LONG,CALL,12:35,466.0,1.38,2,1,0.5,LOSS,463.67,-0.5
2026-05-05,M&M,LONG,CALL,12:35,3148.2,0.97,2,1,0.5,LOSS,3132.46,-0.5
2026-05-06,BHEL,LONG,CALL,11:55,383.45,1.64,2,1,0.5,LOSS,381.53,-0.5
2026-05-06,DMART,LONG,CALL,12:40,4431.0,1.1,2,1,0.5,LOSS,4408.85,-0.5
2026-05-07,BHEL,LONG,CALL,12:00,403.8,1.44,2,1,0.5,WIN,407.84,1
2026-05-07,HEROMOTOCO,LONG,CALL,12:10,5430.0,0.88,2,1,0.5,LOSS,5402.85,-0.5
2026-05-07,ASHOKLEY,LONG,CALL,12:40,171.8,0.94,2,1,0.5,LOSS,170.94,-0.5
2026-05-12,GODREJPROP,SHORT,PUT,12:35,1737.7,-0.82,2,1,0.5,WIN,1720.32,1
2026-05-12,BANKBARODA,SHORT,PUT,12:45,260.6,-0.97,2,1,0.5,FORCED,260.7,-0.04
2026-05-18,KOTAKBANK,LONG,CALL,12:55,389.85,1.01,2,1,0.5,FORCED,391.45,0.41
2026-05-20,SIEMENS,LONG,CALL,12:25,3637.6,0.84,2,1,0.5,WIN,3673.98,1
2026-05-22,NESTLEIND,LONG,CALL,12:50,1433.3,1.06,2,1,0.5,LOSS,1426.13,-0.5
2026-05-22,BANDHANBNK,LONG,CALL,12:55,194.98,0.8,2,1,0.5,LOSS,194.01,-0.5
2026-05-22,ASHOKLEY,LONG,CALL,13:00,157.1,0.76,2,1,0.5,WIN,158.67,1
2026-05-27,ABB,LONG,CALL,12:50,7166.5,0.78,2,1,0.5,WIN,7238.16,1
2026-05-27,SIEMENS,LONG,CALL,13:00,3843.4,1.0,2,1,0.5,WIN,3881.83,1
2026-05-29,NMDC,SHORT,PUT,13:00,89.91,-0.84,2,1,0.5,WIN,89.01,1
2026-06-02,TRENT,LONG,CALL,12:40,2816.5,1.19,2,1,0.5,LOSS,2802.42,-0.5
2026-06-02,FEDERALBNK,LONG,CALL,12:55,292.5,1.08,2,1,0.5,FORCED,293.8,0.44
2026-06-09,INDIGO,LONG,CALL,12:00,4525.1,1.03,2,1,0.5,LOSS,4502.47,-0.5
2026-06-09,EICHERMOT,LONG,CALL,12:35,7240.5,1.1,2,1,0.5,LOSS,7204.3,-0.5
2026-06-11,HDFCBANK,LONG,CALL,12:10,754.45,0.96,2,1,0.5,LOSS,750.68,-0.5
